                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                 0.6934,                0.46828,                0.94146,                0.85888,                 0.9127,                0.90156,                0.79609,                0.72705,                 0.5014,                0.94281,              0.0085051,              0.0085051,              0.0085051
                    154,                0.73742,                0.50201,                0.96399,                0.76193,                0.75303,                0.82925,                0.63209,                0.97239,                  1.618,                 1.1246,              0.0084952,              0.0084952,              0.0084952
                    155,                0.69866,                0.47306,                0.92714,                0.86958,                0.91948,                0.87628,                0.77858,                0.71719,                 0.5433,                0.94191,              0.0084853,              0.0084853,              0.0084853
                    156,                0.72565,                0.48709,                0.94999,                0.19607,                0.21993,                0.06223,                0.03623,                 2.7018,                 7.5377,                 2.3656,              0.0084754,              0.0084754,              0.0084754
                    157,                0.69498,                0.47917,                0.93681,                0.81628,                0.83588,                0.82788,                0.72938,                0.77143,                0.69311,                0.97171,              0.0084655,              0.0084655,              0.0084655
                    158,                0.71569,                0.47243,                0.95009,                0.80581,                0.86793,                0.85483,                0.76183,                0.74311,                0.62052,                0.95802,              0.0084556,              0.0084556,              0.0084556
                    159,                0.69868,                0.49613,                0.95197,                0.78105,                0.88259,                0.82146,                0.72292,                0.75728,                0.63217,                0.96695,              0.0084457,              0.0084457,              0.0084457
                    160,                0.69532,                0.46577,                0.94511,                0.84507,                0.88049,                0.86999,                0.76292,                0.73817,                0.51283,                0.95232,              0.0084358,              0.0084358,              0.0084358
                    161,                0.70113,                0.45621,                0.94748,                0.84378,                0.87783,                0.85507,                0.75535,                0.73546,                0.53949,                0.94897,              0.0084259,              0.0084259,              0.0084259
                    162,                0.67183,                0.44486,                 0.9223,                0.79865,                0.88049,                0.81704,                0.71858,                  0.724,                0.71242,                0.94281,               0.008416,               0.008416,               0.008416
                    163,                0.70047,                0.45755,                0.93793,                0.79843,                0.88642,                0.81829,                0.72206,                0.71814,                0.64215,                0.94201,              0.0084061,              0.0084061,              0.0084061
                    164,                 0.6877,                0.46397,                0.94377,                0.81472,                0.90527,                0.87124,                 0.7772,                0.72285,                0.52346,                 0.9425,              0.0083962,              0.0083962,              0.0083962
                    165,                0.69078,                 0.4491,                0.93809,                0.83046,                0.91538,                0.88995,                0.79036,                0.71381,                0.54563,                0.93973,              0.0083863,              0.0083863,              0.0083863
                    166,                0.69308,                0.48537,                0.94542,                0.82694,                0.89556,                0.87008,                0.77916,                0.72864,                0.58643,                 0.9506,              0.0083764,              0.0083764,              0.0083764
                    167,                0.67078,                0.44481,                0.93362,                0.51275,                0.09085,                0.09413,                0.05698,                 2.4876,                 5.7103,                 2.3363,              0.0083665,              0.0083665,              0.0083665
                    168,                0.67199,                0.45401,                0.94129,                0.68469,                0.85359,                0.78678,                0.66684,                0.81748,                0.81759,                0.98975,              0.0083566,              0.0083566,              0.0083566
                    169,                0.69991,                 0.4764,                0.94717,                0.85736,                0.89032,                 0.8869,                0.78431,                0.73168,                0.51225,                0.94729,              0.0083467,              0.0083467,              0.0083467
                    170,                0.65756,                0.44728,                0.91695,                0.85139,                0.88078,                0.90019,                0.79292,                0.73673,                 0.5399,                0.94981,              0.0083368,              0.0083368,              0.0083368
                    171,                0.68073,                0.46208,                0.93073,                0.75157,                0.74406,                0.79556,                0.60663,                 1.0014,                 1.6916,                 1.1282,              0.0083269,              0.0083269,              0.0083269
                    172,                0.68322,                0.47768,                 0.9361,                0.81651,                0.86237,                0.87928,                0.76427,                0.76392,                0.68217,                0.96789,               0.008317,               0.008317,               0.008317
                    173,                0.68559,                 0.4425,                 0.9308,                 0.8476,                0.87145,                 0.8845,                0.79428,                0.72606,                0.55779,                0.95122,              0.0083071,              0.0083071,              0.0083071
                    174,                0.67087,                 0.4525,                0.93883,                0.88656,                0.88785,                0.91193,                0.81206,                0.73819,                0.53119,                0.95878,              0.0082972,              0.0082972,              0.0082972
                    175,                0.66481,                0.44956,                0.92981,                0.84233,                0.86931,                0.90008,                0.80044,                0.71494,                0.54019,                0.95738,              0.0082873,              0.0082873,              0.0082873
                    176,                0.68507,                0.44597,                0.92841,                0.81474,                0.92076,                0.89574,                0.79193,                0.73197,                0.54947,                0.95207,              0.0082774,              0.0082774,              0.0082774
                    177,                0.69467,                0.45604,                 0.9487,                0.87028,                0.91864,                0.91517,                0.81771,                0.72899,                0.46165,                0.95532,              0.0082675,              0.0082675,              0.0082675
                    178,                0.68797,                0.44436,                0.93948,                 0.8505,                0.89929,                0.90831,                0.80898,                0.72479,                0.48167,                0.94681,              0.0082576,              0.0082576,              0.0082576
                    179,                0.67143,                0.44667,                 0.9191,                0.81047,                0.92522,                0.92345,                  0.827,                0.72707,                 0.4917,                0.94432,              0.0082477,              0.0082477,              0.0082477
                    180,                0.67286,                 0.4391,                 0.9342,                0.83322,                0.89908,                0.87572,                0.77232,                0.71434,                0.55418,                0.94041,              0.0082378,              0.0082378,              0.0082378
                    181,                0.65626,                0.43845,                0.91021,                0.81876,                0.88406,                 0.8917,                0.77242,                0.78805,                0.63073,                0.98509,              0.0082279,              0.0082279,              0.0082279
                    182,                0.64634,                0.43811,                0.91244,                0.82667,                0.89878,                0.87752,                0.75324,                0.81493,                0.61241,                 1.0136,               0.008218,               0.008218,               0.008218
                    183,                0.67377,                0.45306,                0.93378,                0.82157,                0.87074,                0.84071,                0.73892,                0.73579,                0.62397,                0.95414,              0.0082081,              0.0082081,              0.0082081
                    184,                0.68767,                0.45942,                0.94477,                0.84861,                0.90033,                0.90883,                0.80909,                0.72968,                0.50253,                0.94123,              0.0081982,              0.0081982,              0.0081982
                    185,                0.65261,                0.41778,                0.91096,                0.88892,                0.87916,                0.88423,                0.78845,                0.72885,                0.49225,                0.94044,              0.0081883,              0.0081883,              0.0081883
                    186,                0.67184,                0.44008,                0.93585,                0.82057,                0.89076,                0.87177,                0.77554,                0.72862,                0.54884,                 0.9366,              0.0081784,              0.0081784,              0.0081784
                    187,                 0.6489,                0.42656,                0.91072,                0.81883,                0.92743,                0.89203,                0.79021,                0.75109,                0.53364,                 0.9568,              0.0081685,              0.0081685,              0.0081685
                    188,                0.63554,                0.51479,                 0.9138,                 0.8774,                0.88592,                0.89412,                0.79287,                0.74009,                0.51346,                 0.9555,              0.0081586,              0.0081586,              0.0081586
