                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82923,                0.66565,                0.99325,                 0.7961,                 0.8349,                0.86439,                 0.7455,                0.74157,                0.63428,                0.93093,              0.0096733,              0.0096733,              0.0096733
                     36,                 0.8086,                0.66366,                0.97833,                 0.7342,                0.84358,                0.82218,                0.67348,                0.78367,                0.74267,                0.95716,              0.0096634,              0.0096634,              0.0096634
                     37,                0.80271,                0.66606,                0.97626,                0.81562,                0.85431,                0.84797,                0.72249,                0.73709,                0.68787,                0.94336,              0.0096535,              0.0096535,              0.0096535
                     38,                0.79656,                0.66131,                0.96703,                0.89416,                0.78984,                0.87351,                0.74509,                0.77908,                0.67497,                0.94223,              0.0096436,              0.0096436,              0.0096436
                     39,                0.79749,                0.71359,                 0.9687,                0.80165,                0.89155,                 0.9088,                0.77937,                  0.756,                0.61349,                0.94271,              0.0096337,              0.0096337,              0.0096337
                     40,                0.81223,                 0.6599,                0.99057,                0.55744,                0.59548,                0.55727,                0.42565,                0.90937,                 1.7965,                 1.0182,              0.0096238,              0.0096238,              0.0096238
                     41,                0.82088,                0.65716,                0.98681,                0.76804,                0.75062,                0.77818,                0.63128,                0.88788,                 0.9493,                 1.0209,              0.0096139,              0.0096139,              0.0096139
                     42,                0.81397,                0.63382,                 0.9927,                0.77977,                0.83839,                0.82883,                0.71934,                0.76968,                0.82772,                0.97015,               0.009604,               0.009604,               0.009604
                     43,                0.79801,                0.64734,                0.97228,                0.63316,                0.48939,                0.55017,                0.44223,                0.89065,                 1.7941,                 1.0399,              0.0095941,              0.0095941,              0.0095941
                     44,                0.79763,                0.64109,                0.95838,                0.72415,                0.74496,                0.73756,                0.58705,                 0.8647,                0.93658,                 1.0278,              0.0095842,              0.0095842,              0.0095842
                     45,                0.81682,                0.62065,                0.98041,                0.62809,                0.28677,                0.28525,                0.15324,                 1.7168,                 4.4234,                 1.6058,              0.0095743,              0.0095743,              0.0095743
                     46,                0.78952,                0.62019,                0.97913,                0.80771,                0.87582,                0.86049,                0.73054,                0.76212,                0.62507,                0.94949,              0.0095644,              0.0095644,              0.0095644
                     47,                0.78544,                0.64774,                0.97753,                0.73068,                0.81009,                0.79438,                0.61432,                0.88861,                0.97133,                 1.0074,              0.0095545,              0.0095545,              0.0095545
                     48,                0.78369,                0.70809,                0.95273,                0.68887,                0.82826,                0.77085,                0.66002,                0.75602,                 1.1191,                0.94075,              0.0095446,              0.0095446,              0.0095446
